id,host_id,neighbourhood_cleansed,room_type,latitude,longitude,price_clean,calculated_host_listings_count,availability_365,reviews_per_month,minimum_nights,commercialization_score,operator_type,high_confidence_commercial,signals_fired
275346,1435464,Sarrià,Entire home/apt,41.39175721131073,2.125056260360505,266.0,15,250,0.65,1,54.5,commercial,1,2
275350,1435464,el Raval,Entire home/apt,41.38099,2.17213,,15,283,0.39,1,56.3,commercial,1,2
283231,1475411,el Parc i la Llacuna del Poblenou,Entire home/apt,41.39086,2.18803,156.0,1,250,2.15,7,48.7,commercial,1,2
288034,1447144,la Nova Esquerra de l'Eixample,Entire home/apt,41.38839,2.15019,,413,365,0.12,30,89.1,medium_term_home_rental,1,3
290535,1447144,"Sant Pere, Santa Caterina i la Ribera",Entire home/apt,41.38493,2.1809,240.0,413,224,0.07,32,76.3,medium_term_home_rental,1,3
291160,1447144,la Vila Olímpica del Poblenou,Entire home/apt,41.39383,2.19813,380.0,413,365,0.05,31,84.1,medium_term_home_rental,1,3
295200,612665,la Vila de Gràcia,Entire home/apt,41.40697,2.16106,202.0,4,127,1.7,3,47.1,commercial,0,1
315769,1994100,el Camp d'en Grassot i Gràcia Nova,Entire home/apt,41.40466,2.17147,140.0,3,309,0.53,3,57.0,commercial,1,2
320506,1642180,el Poble Sec,Entire home/apt,41.37195,2.16936,111.0,1,124,0.48,3,46.8,commercial,0,1
330745,768692,la Vila Olímpica del Poblenou,Entire home/apt,41.38966,2.1958,220.0,1,365,0.1,31,60.0,medium_term_home_rental,1,2
330766,1687524,la Dreta de l'Eixample,Entire home/apt,41.39076,2.17503,196.0,2,45,1.91,5,42.5,commercial,0,1
330957,893805,la Dreta de l'Eixample,Entire home/apt,41.39782414629114,2.170576755958843,182.0,12,328,4.27,2,58.6,commercial,1,2
331026,440881,Sant Antoni,Private room,41.37793,2.15978,59.0,1,298,2.04,3,26.3,casual,0,1
337755,1716315,la Vila Olímpica del Poblenou,Entire home/apt,41.39253234863281,2.19325590133667,266.0,2,135,0.65,1,47.4,commercial,0,1
341563,1447144,les Corts,Entire home/apt,41.3826,2.13075,140.0,413,364,0.01,32,84.0,medium_term_home_rental,1,3
343861,1744516,la Dreta de l'Eixample,Entire home/apt,41.39993,2.16536,186.0,39,77,0.41,3,46.4,commercial,0,1
343864,1744516,la Vila de Gràcia,Entire home/apt,41.40735,2.15885,187.0,39,87,0.47,3,46.9,commercial,0,1
343866,1744516,la Vila de Gràcia,Entire home/apt,41.40399,2.15565,252.0,39,77,1.1,3,46.4,commercial,0,1
345129,1238225,el Barri Gòtic,Private room,41.38512,2.17129,70.0,1,87,0.2,31,14.7,medium_term_room_rental,0,0
347824,1447144,la Barceloneta,Entire home/apt,41.3764,2.19102,,413,365,0.02,2,84.1,commercial,1,3
351395,1435464,el Fort Pienc,Entire home/apt,41.39271,2.17974,299.0,15,274,0.76,1,55.8,commercial,1,2
352772,1786501,la Nova Esquerra de l'Eixample,Entire home/apt,41.38184,2.15119,186.0,1,306,2.05,2,56.8,commercial,1,2
353640,1791076,"Sant Pere, Santa Caterina i la Ribera",Entire home/apt,41.38422,2.18412,220.0,2,179,1.4,1,49.8,commercial,0,1
357576,1809535,la Vila de Gràcia,Entire home/apt,41.40508,2.15491,287.0,2,276,3.16,1,55.2,commercial,1,2
359841,1820272,Diagonal Mar i el Front Marítim del Poblenou,Entire home/apt,41.40502,2.20802,152.0,5,300,3.49,2,56.7,commercial,1,2
364030,1839136,Sant Antoni,Entire home/apt,41.375553476091895,2.1625359295673867,166.0,1,317,2.83,2,57.4,commercial,1,2
365911,1260560,la Nova Esquerra de l'Eixample,Entire home/apt,41.37911,2.15356,256.0,4,335,0.89,1,58.5,commercial,1,2
370665,1447144,"Sant Pere, Santa Caterina i la Ribera",Entire home/apt,41.38545,2.18117,240.0,413,365,0.13,32,84.1,medium_term_home_rental,1,3
373667,1447144,el Barri Gòtic,Entire home/apt,41.38148,2.18123,250.0,413,362,0.03,1,83.9,commercial,1,3
384063,1447144,la Dreta de l'Eixample,Entire home/apt,41.39639,2.17641,238.0,413,365,0.06,1,84.1,commercial,1,3
384464,674212,la Dreta de l'Eixample,Entire home/apt,41.38992,2.16974,800.0,5,329,1.4,3,58.3,commercial,1,2
385049,3775349,"Sant Pere, Santa Caterina i la Ribera",Entire home/apt,41.38203,2.18362,555.0,1,330,1.7,2,58.1,commercial,1,2
393717,1968590,el Raval,Entire home/apt,41.3795,2.16568,160.0,1,269,3.13,3,54.7,commercial,1,2
399772,1995385,la Nova Esquerra de l'Eixample,Entire home/apt,41.38268,2.15044,179.0,3,187,1.29,2,50.3,commercial,1,2
402369,1447144,el Barri Gòtic,Entire home/apt,41.38035,2.17821,211.0,413,358,0.07,2,83.7,commercial,1,3
408599,2034854,el Poble Sec,Entire home/apt,41.37374,2.15852,118.0,1,311,4.26,1,57.0,commercial,1,2
417239,2074943,la Vila de Gràcia,Entire home/apt,41.40413,2.15692,126.0,1,149,0.76,30,53.1,medium_term_home_rental,0,1
424137,2108468,el Barri Gòtic,Entire home/apt,41.37973,2.17458,294.0,9,169,1.63,1,49.7,commercial,0,1
424294,1447144,"Sant Pere, Santa Caterina i la Ribera",Entire home/apt,41.3884,2.17936,250.0,413,356,0.02,2,83.6,commercial,1,3
425639,2116153,el Putxet i el Farró,Entire home/apt,41.40864,2.14557,652.0,1,122,0.92,2,46.6,commercial,0,1
432482,898600,la Dreta de l'Eixample,Entire home/apt,41.39144,2.16128,292.0,2,253,3.2,1,53.9,commercial,1,2
438102,2176121,el Fort Pienc,Private room,41.39829,2.1812,45.0,2,257,0.72,31,24.1,medium_term_room_rental,0,1
439057,2181314,la Vila de Gràcia,Entire home/apt,41.40002,2.1579,150.0,1,212,2.83,2,51.6,commercial,1,2
443110,2201772,l'Antiga Esquerra de l'Eixample,Entire home/apt,41.3879153,2.1522402,,7,155,0.33,1,48.8,commercial,0,1
443222,2202284,la Sagrada Família,Entire home/apt,41.40998,2.17553,171.0,21,105,1.39,4,46.9,commercial,0,1
